Condition,Conflict,Correct,Duration,Flanker,Position,Stimuli,Trial,prob
1,1,1,1.25,0,1,100,712,0.25
0,0,0,2.1863719811,0,0,.,711,0
1,2,3,1.25,0,3,003,710,0.25
0,0,0,2.08867389254,0,0,.,709,0
1,1,2,1.25,0,2,020,708,0.25
0,0,0,2.72237521517,0,0,.,707,0
2,3,1,1.25,2,2,212,706,0.25
0,0,0,2.96354778362,0,0,.,705,0
1,1,1,1.25,0,1,100,704,0.25
0,0,0,2.4384031767,0,0,.,703,0
2,3,2,1.25,3,1,233,702,0.25
0,0,0,2.31945239113,0,0,.,701,0
1,1,2,1.25,0,2,020,700,0.25
0,0,0,2.58122636696,0,0,.,699,0
1,2,1,1.25,0,1,100,698,0.25
0,0,0,2.28792147974,0,0,.,697,0
2,0,3,1.25,1,2,131,696,0.25
0,0,0,2.13290883051,0,0,.,695,0
1,1,3,1.25,0,3,003,694,0.25
0,0,0,2.63573064351,0,0,.,693,0
1,1,1,1.25,0,1,100,692,0.25
0,0,0,2.64642425497,0,0,.,691,0
1,2,3,1.25,0,3,003,690,0.25
0,0,0,2.30248804857,0,0,.,689,0
2,3,1,1.25,3,3,331,688,0.25
0,0,0,2.87692397202,0,0,.,687,0
1,1,1,1.25,0,1,100,686,0.25
0,0,0,2.85694587085,0,0,.,685,0
1,1,2,1.25,0,2,020,684,0.25
0,0,0,2.45793843547,0,0,.,683,0
1,1,3,1.25,0,3,003,682,0.25
0,0,0,2.01223092024,0,0,.,681,0
2,3,3,1.25,1,2,131,680,0.25
0,0,0,2.13661801665,0,0,.,679,0
1,1,2,1.25,0,2,020,678,0.25
0,0,0,2.99137120348,0,0,.,677,0
1,1,3,1.25,0,3,003,676,0.25
0,0,0,2.11181766172,0,0,.,675,0
1,2,1,1.25,0,1,100,674,0.25
0,0,0,2.31261204832,0,0,.,673,0
1,1,2,1.25,0,2,020,672,0.5
0,0,0,2.69754891491,0,0,.,671,0
2,3,1,1.25,2,2,221,670,0.5
0,0,0,2.34990225459,0,0,.,669,0
1,2,1,1.25,0,1,100,668,0.5
0,0,0,2.14889647455,0,0,.,667,0
1,1,3,1.25,0,3,003,666,0.5
0,0,0,2.38862846117,0,0,.,665,0
2,0,3,1.25,2,2,232,664,0.5
0,0,0,2.47406756053,0,0,.,663,0
2,3,2,1.25,3,1,233,662,0.5
0,0,0,2.68597618653,0,0,.,661,0
1,1,2,1.25,0,2,020,660,0.5
0,0,0,2.3174463047,0,0,.,659,0
2,3,1,1.25,2,2,212,658,0.5
0,0,0,2.19096255093,0,0,.,657,0
1,1,2,1.25,0,2,020,656,0.5
0,0,0,2.99899409173,0,0,.,655,0
2,0,3,1.25,1,2,131,654,0.5
0,0,0,2.71133154206,0,0,.,653,0
2,3,1,1.25,3,3,331,652,0.5
0,0,0,2.46982031694,0,0,.,651,0
1,2,1,1.25,0,1,100,650,0.5
0,0,0,2.29720719374,0,0,.,649,0
1,1,3,1.25,0,3,003,648,0.5
0,0,0,2.23719086584,0,0,.,647,0
2,3,3,1.25,2,1,322,646,0.5
0,0,0,2.05788234689,0,0,.,645,0
1,2,1,1.25,0,1,100,644,0.5
0,0,0,2.15371265499,0,0,.,643,0
1,1,3,1.25,0,3,003,642,0.5
0,0,0,2.67802733534,0,0,.,641,0
2,3,2,1.25,3,3,332,640,0.5
0,0,0,2.09191282497,0,0,.,639,0
1,1,3,1.25,0,3,003,638,0.5
0,0,0,2.29272928274,0,0,.,637,0
2,0,1,1.25,2,2,212,636,0.5
0,0,0,2.26751795987,0,0,.,635,0
2,3,1,1.25,2,2,221,634,0.5
0,0,0,2.78269459128,0,0,.,633,0
1,1,3,1.25,0,3,003,632,0.5
0,0,0,2.74268758492,0,0,.,631,0
2,3,2,1.25,3,1,233,630,0.5
0,0,0,2.62077422055,0,0,.,629,0
1,1,3,1.25,0,3,003,628,0.5
